season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,percentage,points_game,goals_game,goals_tak_game
2003,1,Cruzeiro,100,46,31,7,8,102,47,55,72.46,2.17,2.22,1.02
2003,2,Santos,87,46,25,12,9,93,60,33,63.04,1.89,2.02,1.3
2003,3,São Paulo,78,46,22,12,12,81,67,14,56.52,1.7,1.76,1.46
2003,4,São Caetano,74,46,19,14,13,53,37,16,53.62,1.61,1.15,0.8
2003,5,Coritiba,73,46,21,10,15,67,58,9,52.9,1.59,1.46,1.26
2003,6,Atlético Mineiro,72,46,19,15,12,76,62,14,52.17,1.57,1.65,1.35
2003,7,Internacional,72,46,20,10,16,59,57,2,52.17,1.57,1.28,1.24
2003,8,Flamengo,66,46,18,12,16,66,73,-7,47.83,1.43,1.43,1.59
2003,9,Goiás,65,46,18,11,17,78,63,15,47.1,1.41,1.7,1.37
2003,10,Paraná,65,46,18,11,17,85,75,10,47.1,1.41,1.85,1.63
2003,11,Figueirense,65,46,17,14,15,62,54,8,47.1,1.41,1.35,1.17
2003,12,Athletico Paranaense,61,46,17,10,19,67,72,-5,44.2,1.33,1.46,1.57
2003,13,Guarani,61,46,17,10,19,64,72,-8,44.2,1.33,1.39,1.57
2003,14,Criciúma,60,46,17,9,20,57,69,-12,43.48,1.3,1.24,1.5
2003,15,Corinthians,59,46,15,12,19,61,63,-2,42.75,1.28,1.33,1.37
2003,16,Vitória,56,46,15,11,20,50,64,-14,40.58,1.22,1.09,1.39
2003,17,Vasco,54,46,13,15,18,57,69,-12,39.13,1.17,1.24,1.5
2003,18,Juventude,53,46,12,14,20,55,70,-15,38.41,1.15,1.2,1.52
2003,19,Fluminense,52,46,13,11,22,52,77,-25,37.68,1.13,1.13,1.67
2003,20,Ponte Preta,50,46,11,18,17,63,73,-10,36.23,1.09,1.37,1.59
2003,21,Grêmio,50,46,13,11,22,54,68,-14,36.23,1.09,1.17,1.48
2003,22,Paysandu,49,46,15,12,19,74,77,-3,35.51,1.07,1.61,1.67
2003,23,Fortaleza,49,46,12,13,21,58,74,-16,35.51,1.07,1.26,1.61
2003,24,Bahia,46,46,12,10,24,59,92,-33,33.33,1.0,1.28,2.0
2004,1,Santos,89,46,27,8,11,103,58,45,64.49,1.93,2.24,1.26
2004,2,Athletico Paranaense,86,46,25,11,10,93,56,37,62.32,1.87,2.02,1.22
2004,3,São Paulo,82,46,24,10,12,78,43,35,59.42,1.78,1.7,0.93
2004,4,Palmeiras,79,46,22,13,11,72,47,25,57.25,1.72,1.57,1.02
2004,5,Corinthians,74,46,20,14,12,54,54,0,53.62,1.61,1.17,1.17
2004,6,Goiás,72,46,21,9,16,81,68,13,52.17,1.57,1.76,1.48
2004,7,Juventude,70,46,20,10,16,60,66,-6,50.72,1.52,1.3,1.43
2004,8,Internacional,67,46,20,7,19,66,59,7,48.55,1.46,1.43,1.28
2004,9,Fluminense,67,46,18,13,15,65,68,-3,48.55,1.46,1.41,1.48
2004,10,Ponte Preta,64,46,19,7,20,43,73,-30,46.38,1.39,0.93,1.59
2004,11,Figueirense,63,46,17,12,17,57,59,-2,45.65,1.37,1.24,1.28
2004,12,Coritiba,62,46,15,17,14,53,48,5,44.93,1.35,1.15,1.04
2004,13,Cruzeiro,56,46,16,8,22,69,81,-12,40.58,1.22,1.5,1.76
2004,14,Paysandu,56,46,14,14,18,56,76,-20,40.58,1.22,1.22,1.65
2004,15,Paraná,54,46,15,9,22,52,73,-21,39.13,1.17,1.13,1.59
2004,16,Vasco,54,46,14,12,20,64,68,-4,39.13,1.17,1.39,1.48
2004,17,Flamengo,54,46,13,15,18,51,53,-2,39.13,1.17,1.11,1.15
2004,18,São Caetano,53,46,23,8,15,65,49,16,38.41,1.15,1.41,1.07
2004,19,Atlético Mineiro,53,46,12,17,17,60,66,-6,38.41,1.15,1.3,1.43
2004,20,Botafogo,51,46,11,18,17,62,71,-9,36.96,1.11,1.35,1.54
2004,21,Criciúma,50,46,13,11,22,61,78,-17,36.23,1.09,1.33,1.7
2004,22,Guarani,49,46,11,16,19,43,55,-12,35.51,1.07,0.93,1.2
2004,23,Vitória,48,46,13,9,24,68,87,-19,34.78,1.04,1.48,1.89
2004,24,Grêmio,39,46,9,12,25,60,80,-20,28.26,0.85,1.3,1.74
2005,1,Corinthians,81,42,24,9,9,87,59,28,64.29,1.93,2.07,1.4
2005,2,Internacional,78,42,23,9,10,72,49,23,61.9,1.86,1.71,1.17
