season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,percentage,points_game,goals_game,goals_tak_game
2003,3,São Paulo,78,46,22,12,12,81,67,14,56.52,1.7,1.76,1.46
2003,7,Internacional,72,46,20,10,16,59,57,2,52.17,1.57,1.28,1.24
2003,8,Flamengo,66,46,18,12,16,66,73,-7,47.83,1.43,1.43,1.59
2003,15,Corinthians,59,46,15,12,19,61,63,-2,42.75,1.28,1.33,1.37
2004,3,São Paulo,82,46,24,10,12,78,43,35,59.42,1.78,1.7,0.93
2004,4,Palmeiras,79,46,22,13,11,72,47,25,57.25,1.72,1.57,1.02
2004,5,Corinthians,74,46,20,14,12,54,54,0,53.62,1.61,1.17,1.17
2004,8,Internacional,67,46,20,7,19,66,59,7,48.55,1.46,1.43,1.28
2004,17,Flamengo,54,46,13,15,18,51,53,-2,39.13,1.17,1.11,1.15
2005,1,Corinthians,81,42,24,9,9,87,59,28,64.29,1.93,2.07,1.4
2005,2,Internacional,78,42,23,9,10,72,49,23,61.9,1.86,1.71,1.17
2005,4,Palmeiras,70,42,20,10,12,81,65,16,55.56,1.67,1.93,1.55
2005,11,São Paulo,58,42,16,10,16,77,67,10,46.03,1.38,1.83,1.6
2005,15,Flamengo,55,42,14,13,15,56,60,-4,43.65,1.31,1.33,1.43
2006,1,São Paulo,78,38,22,12,4,66,32,34,68.42,2.05,1.74,0.84
2006,2,Internacional,69,38,20,9,9,52,36,16,60.53,1.82,1.37,0.95
2006,9,Corinthians,53,38,15,8,15,41,46,-5,46.49,1.39,1.08,1.21
2006,11,Flamengo,52,38,15,7,16,44,48,-4,45.61,1.37,1.16,1.26
2006,16,Palmeiras,44,38,12,8,18,58,70,-12,38.6,1.16,1.53,1.84
2007,1,São Paulo,77,38,23,8,7,55,19,36,67.54,2.03,1.45,0.5
2007,3,Flamengo,61,38,17,10,11,55,49,6,53.51,1.61,1.45,1.29
2007,7,Palmeiras,58,38,16,10,12,48,47,1,50.88,1.53,1.26,1.24
2007,11,Internacional,54,38,15,9,14,49,44,5,47.37,1.42,1.29,1.16
2007,17,Corinthians,44,38,10,14,14,40,50,-10,38.6,1.16,1.05,1.32
2008,1,São Paulo,75,38,21,12,5,66,36,30,65.79,1.97,1.74,0.95
